chest_cm,waist_cm,height_cm,weight_kg,age,shoulder_cm,hip_cm,size,style,fit,occasion,brand_preference
95,80,175,70,25,45,95,M,casual,regular,weekend,unisex
100,85,180,75,30,47,98,L,formal,slim,work,premium
105,90,185,80,28,48,100,L,casual,loose,party,streetwear
110,95,190,85,35,50,102,XL,formal,regular,date,classic
115,100,195,90,40,52,105,XL,casual,loose,weekend,comfort
88,75,170,65,22,42,90,S,casual,slim,party,trendy
92,78,172,68,24,43,92,S,formal,regular,work,business
98,82,178,72,26,45,96,M,casual,regular,weekend,unisex
103,87,182,78,29,47,99,L,formal,slim,work,premium
108,92,187,82,32,49,101,XL,casual,loose,party,streetwear
113,97,192,87,38,51,104,XXL,formal,regular,date,classic
118,102,197,92,42,53,107,XXL,casual,loose,weekend,comfort
85,72,168,62,21,41,88,XS,casual,slim,party,trendy
89,76,171,66,23,42,91,S,formal,regular,work,business
94,79,174,69,25,44,93,S,casual,regular,weekend,unisex
99,83,179,73,27,46,97,M,formal,slim,work,premium
104,88,183,79,30,48,100,L,casual,loose,party,streetwear
109,93,188,83,33,50,102,XL,formal,regular,date,classic
114,98,193,88,39,52,105,XXL,casual,loose,weekend,comfort
119,103,198,93,43,54,108,XXL,formal,regular,work,business
87,74,169,64,22,41,89,XS,casual,slim,party,trendy
91,77,172,67,24,43,92,S,formal,regular,work,business
96,80,175,70,26,44,94,S,casual,regular,weekend,unisex
101,84,180,74,28,46,97,M,formal,slim,work,premium
106,89,184,78,31,48,99,L,casual,loose,party,streetwear
111,94,189,84,34,50,101,XL,formal,regular,date,classic
116,99,194,89,40,52,104,XXL,casual,loose,weekend,comfort
121,104,199,94,44,54,107,XXL,formal,regular,work,business
86,73,168,63,21,40,87,XS,casual,slim,party,trendy
90,75,170,65,23,42,90,S,formal,regular,work,business
93,78,173,68,25,43,91,S,casual,regular,weekend,unisex
97,81,176,71,27,45,94,M,formal,slim,work,premium
102,86,181,76,29,47,97,L,casual,loose,party,streetwear
107,91,186,81,32,49,100,XL,formal,regular,date,classic
112,96,191,86,37,51,103,XXL,casual,loose,weekend,comfort
117,101,196,91,41,53,106,XXL,formal,regular,work,business
